MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7917.084691,,7643.836965,,7593.173638,,7409.193743,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2921.082732,,3244.101236,,2896.090357,,759.8743815,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7681.1198,,7601.658105,,3859.896093,,1203.910482,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14569.92309,,11774.85124,,5682.145003,,3021.374189,,2507.974322,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11838.83235,,9438.376985,,3554.332474,,1374.161616,,1314.033943,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.8052235,,802.5284892,,664.6885961,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49868.68092,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NoCCS,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.13718,,9657.476376,,8650.979875,,7250.603921,,5950.527467,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CH4,Mt CH4/yr,348.9808039,367.0096335,,239.7235342,,206.0051699,,193.2229723,,179.5577863,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2,Mt CO2/yr,34492.04991,38315.63026,,35639.40609,,28528.93628,,20181.68916,,13129.99864,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2562.343044,,6232.711247,,9882.282846,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33504.66018,,31209.57959,,24936.98816,,17955.3917,,12213.79686,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19138.66963,,17624.73528,,14746.5515,,14240.11324,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7831.800382,,5961.987032,,5586.57752,,5449.85642,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2935.108872,,3288.244734,,3246.976758,,3194.12734,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7642.240321,,7643.910905,,5181.848439,,4868.223591,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14571.96281,,11935.54469,,7176.887606,,3073.474937,,-2161.681648,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11840.65032,,9595.00506,,4937.48783,,1553.285843,,-2160.871366,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-NucOff,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
